datetime	alt	PRESSURE	AIR_TEMP	RAINFALL	MIXDEPTH	RELHUMID
05/17/10 06:00:00	100	984.1	285.9	0	388.2	91.7
05/17/10 06:00:00	500	936.2	284.3	0	387.3	93.1
05/17/10 07:00:00	10	994.5	286.6	0	407.6	90.2
05/17/10 07:00:00	100	983.6	285.8	0	406.5	92.6
05/17/10 07:00:00	500	936	284	0	399	94
05/17/10 08:00:00	10	994.1	286.6	0	434.2	91.1
05/17/10 08:00:00	100	983	285.6	0	432	93.8
05/17/10 08:00:00	500	935.7	283.6	0	419.1	94.8
05/17/10 09:00:00	10	993.6	286.6	0	460.3	92.1
05/17/10 09:00:00	100	982.5	285.5	0	457.2	95
05/17/10 09:00:00	500	935.4	283.2	0	442.5	95.6
05/17/10 10:00:00	10	993.6	286.6	0	510.5	90.8
05/17/10 10:00:00	100	982.5	285.6	0	508.8	93.1
05/17/10 10:00:00	500	935.6	283	0	498.9	94.9
05/17/10 11:00:00	10	993.8	286.6	0	565.6	89.1
05/17/10 11:00:00	100	982.7	285.6	0	565	90.7
05/17/10 11:00:00	500	936	282.9	0	560.3	93.9
05/17/10 12:00:00	10	993.9	286.6	0	620.7	87.4
05/17/10 12:00:00	100	982.8	285.7	0	620.7	88.3
05/17/10 12:00:00	500	936.4	282.7	0	620.1	92.9
05/17/10 13:00:00	10	994.2	286.6	0	584.1	86
05/17/10 13:00:00	100	983.2	285.7	0	584	87.5
05/17/10 13:00:00	500	936.9	282.8	0	581.1	90.8
05/17/10 14:00:00	10	994.5	286.7	0	529.5	84.7
05/17/10 14:00:00	100	983.6	285.8	0	529.3	87.1
05/17/10 14:00:00	500	937.3	282.9	0	522.9	88.5
05/17/10 15:00:00	10	994.8	286.8	0	475.3	83.4
05/17/10 15:00:00	100	984	285.8	0	475	86.7
05/17/10 15:00:00	500	937.8	283	0	465.2	86.3
05/17/10 16:00:00	10	995.3	287.8	0	589.3	80.2
05/17/10 16:00:00	100	984.5	286.6	0	588.8	83.4
05/17/10 16:00:00	500	938.1	283.1	0	583.9	87.1
05/17/10 17:00:00	10	995.8	289	0	735	76.7
05/17/10 17:00:00	100	985.1	287.4	0	735.3	79.5
05/17/10 17:00:00	500	938.4	283.3	0	736.4	88.6
05/17/10 18:00:00	10	996.3	290.1	0	878.8	73.2
05/17/10 18:00:00	100	985.7	288.2	0	880.7	75.8
05/17/10 18:00:00	500	938.8	283.5	0	887.5	90.1
05/17/10 19:00:00	10	996.7	290.4	0	901.1	73.3
05/17/10 19:00:00	100	986.4	288.5	0	902.4	75.4
05/17/10 19:00:00	500	939.8	283.6	0	909.6	89.3
05/17/10 20:00:00	10	997.1	290.4	0	899.4	74
05/17/10 20:00:00	100	987.1	288.6	0	899.7	75.8
05/17/10 20:00:00	500	940.8	283.8	0	906.3	88.1
05/17/10 21:00:00	10	997.5	290.4	0	897.7	74.6
05/17/10 21:00:00	100	987.8	288.8	0	897	76.1
05/17/10 21:00:00	500	941.7	284	0	903	86.8
05/17/10 22:00:00	10	997.7	290.1	0	842.1	74.8
05/17/10 22:00:00	100	988.2	288.5	0	842.7	76.6
05/17/10 22:00:00	500	941.9	283.8	0	846.9	88.1
05/17/10 23:00:00	10	998	289.6	0	778.4	74.9
05/17/10 23:00:00	100	988.6	288.2	0	779.1	77.1
05/17/10 23:00:00	500	942	283.6	0	779.4	90
05/18/10 00:00:00	10	998.2	289.2	0	717.4	75
05/18/10 00:00:00	100	988.9	287.9	0	716.9	77.5
05/18/10 00:00:00	500	942.1	283.4	0	711.4	91.8
05/18/10 01:00:00	10	998	288.8	0	686.8	75.4
05/18/10 01:00:00	100	988.6	287.6	0	686.6	77.8
05/18/10 01:00:00	500	941.9	283.4	0	682.5	89.7
05/18/10 02:00:00	10	997.7	288.3	0	661.2	76
05/18/10 02:00:00	100	988.2	287.3	0	661.2	78
05/18/10 02:00:00	500	941.6	283.5	0	659.4	86.9
05/18/10 03:00:00	10	997.4	287.9	0	634.5	76.6
05/18/10 03:00:00	100	987.9	287	0	634.5	78.1
05/18/10 03:00:00	500	941.3	283.5	0	634.3	84
05/18/10 04:00:00	10	997.6	287.4	0	611.3	77.4
05/18/10 04:00:00	100	987.8	286.6	0	611.4	79.2
05/18/10 04:00:00	500	941.4	283.3	0	608.7	84.3
05/18/10 05:00:00	10	997.9	286.9	0	589.2	78.4
05/18/10 05:00:00	100	987.9	286.2	0	590	80.5
05/18/10 05:00:00	500	941.5	283	0	585.6	85.1
05/18/10 06:00:00	10	998.2	286.4	0	567.4	79.3
05/18/10 06:00:00	100	987.9	285.8	0	569.5	81.9
05/18/10 06:00:00	500	941.7	282.7	0	565.1	86
05/18/10 07:00:00	10	997.9	286.1	0	514.5	81.3
05/18/10 07:00:00	100	987.5	285.6	0	515.7	83.8
05/18/10 07:00:00	500	941.4	282.6	0	511.9	88.5
05/18/10 08:00:00	10	997.3	285.7	0	455.5	83.5
05/18/10 08:00:00	100	986.9	285.4	0	455.6	85.9
05/18/10 08:00:00	500	940.9	282.5	0	453.1	91.3
05/18/10 09:00:00	10	996.8	285.4	0	396.4	85.8
05/18/10 09:00:00	100	986.3	285.1	0	395.4	87.9
05/18/10 09:00:00	500	940.5	282.4	0	394.9	94.2
05/18/10 10:00:00	10	996.8	285.4	0	384.6	85.7
05/18/10 10:00:00	100	986.2	285.2	0	385.5	88
05/18/10 10:00:00	500	940.6	282.5	0	390.5	94.9
05/18/10 11:00:00	10	996.8	285.5	0	382.3	85.2
05/18/10 11:00:00	100	986.2	285.3	0	385.3	87.7
05/18/10 11:00:00	500	940.8	282.6	0	396	95.1
05/18/10 12:00:00	10	996.8	285.6	0	380	84.7
05/18/10 12:00:00	100	986.2	285.4	0	385.2	87.5
05/18/10 12:00:00	500	940.9	282.7	0	401.5	95.3
05/18/10 13:00:00	10	997.2	286.3	0	528.5	84.1
05/18/10 13:00:00	100	986.4	285.7	0	530.3	86.7
05/18/10 13:00:00	500	940.9	282.8	0	537.3	93.9
05/18/10 14:00:00	10	997.7	287.2	0	705.3	83.4
05/18/10 14:00:00	100	986.7	286.1	0	706.4	85.8
05/18/10 14:00:00	500	940.8	282.7	0	707.2	92.4
05/18/10 15:00:00	10	998.2	288.1	0	880.3	82.7
05/18/10 15:00:00	100	987	286.5	0	884.2	84.9
05/18/10 15:00:00	500	940.7	282.7	0	884.8	90.8
05/18/10 16:00:00	10	998.6	289.2	0	970.7	78.7
05/18/10 16:00:00	100	987.8	287.6	0	976.5	80.6
05/18/10 16:00:00	500	941.2	283.4	0	979.6	88.9
05/18/10 17:00:00	10	998.9	290.3	0	1041.5	74.2
05/18/10 17:00:00	100	988.5	288.7	0	1049.6	75.7
05/18/10 17:00:00	500	941.6	284.3	0	1056.8	87
05/18/10 18:00:00	10	999.3	291.4	0	1109.3	69.8
05/18/10 18:00:00	100	989.3	289.8	0	1120.2	71
05/18/10 18:00:00	500	942	285.1	0	1133	85.1
05/18/10 19:00:00	10	999.3	291.7	0	1108.1	69.3
05/18/10 19:00:00	100	989.8	290.2	0	1118.1	70.5
05/18/10 19:00:00	500	942.8	285.6	0	1130.4	83.4
05/18/10 20:00:00	10	999.2	291.9	0	1091.6	69.6
05/18/10 20:00:00	100	990.3	290.4	0	1099.9	70.9
05/18/10 20:00:00	500	943.6	286	0	1110.9	81.8
05/18/10 21:00:00	10	999.2	292.1	0	1073.3	69.9
05/18/10 21:00:00	100	990.8	290.6	0	1079.6	71.2
05/18/10 21:00:00	500	944.4	286.3	0	1089.2	80.2
05/18/10 22:00:00	10	998.9	292	0	1010.5	70.8
05/18/10 22:00:00	100	990.2	290.6	0	1015.4	72.4
